"Company","Phone Number","Website URL","Street Address","Business Type","Business Hours","Google Maps URL","Rating","Number of Reviews","Last Updated"
"Nails studio Olena Dudka s.p., manikira in podaljševanje nohtov","+070735452","https://instagram.com/olena_nails_studio","Topniška ulica 35, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:30 AM - 6:00 PM | Tuesday: 9:30 AM - 6:00 PM | Wednesday: 9:30 AM - 6:00 PM | Thursday: 9:30 AM - 6:00 PM | Friday: 9:30 AM - 6:00 PM | Saturday: 10:00 AM - 4:00 PM | Sunday: Closed","https://maps.google.com/?cid=1951723668456381720","4.9","35","2024-12-03"
"My lepotilnica, Beauty Salon","+031626306","http://mybeauty.si/","Mestni trg 13, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 9:00 AM - 3:00 PM | Tuesday: 9:00 AM - 3:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=6565138292109560750","4.9","59","2024-12-03"
"Val__nails_studio","+071466325","","Miklošičeva cesta 3, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: 9:00 AM - 3:00 PM | Sunday: Closed","https://maps.google.com/?cid=12104077072759574551","5","11","2024-12-03"
"QUEEN'S NAILS","+070479349","","Miklošičeva cesta 15, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 10:00 AM - 6:00 PM | Tuesday: 10:00 AM - 6:00 PM | Wednesday: 10:00 AM - 6:00 PM | Thursday: 10:00 AM - 6:00 PM | Friday: 10:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=6321324112276121967","4.5","16","2024-12-03"
"La Bonita, kozmetične storitve, Ines Dugonjić s.p.","+040597666","https://www.labonita.si/","Dunajska c. 56, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=3584291142528666048","4.9","237","2024-12-03"
"Nail salon Alesnail","+3518875122","https://www.instagram.com/alesnail__?igsh=aDRscGJ4c2t1dzh3&utm_source=qr","Knezova ulica 25, 1000 Ljubljana, Slovenia","Nail Salon","","https://maps.google.com/?cid=17802755637761614030","5","7","2024-12-03"
"Wow nails","+071366369","https://www.instagram.com/wow_nails_si?igsh=bWsydXZvd2l1cDNy","Komenskega ulica 28, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 9:00 AM - 7:30 PM | Tuesday: 9:00 AM - 7:30 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: 9:00 AM - 5:00 PM | Sunday: Closed","https://maps.google.com/?cid=10633676494844920529","4.3","32","2024-12-03"
"Center Nohtne Estetike Ljubljana","+041777874","https://www.instagram.com/idealnails.si/","Dunajska cesta 56 Pasaža Bežigrajski dvor, Dunajska c. 56, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 2:00 PM | Sunday: Closed","https://maps.google.com/?cid=9726765194196794028","4.7","29","2024-12-03"
"Salon Lienela","+070777747","https://salon-lienela.si/","Vojkova cesta 63, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 6:30 AM - 8:00 PM | Tuesday: 6:30 AM - 8:00 PM | Wednesday: 6:30 AM - 8:00 PM | Thursday: 6:30 AM - 8:00 PM | Friday: 6:30 AM - 8:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=1543375480064119301","4.9","157","2024-12-03"
"ANADIYA - Nail Salon & Shop","+030310315","http://shop.anadiya.com/","Dunajska c. 63, 1000 Ljubljana, Slovenia","Nail Salon","","https://maps.google.com/?cid=10194177494969950343","5","1","2024-12-03"
"Čarobna Dolina, Studio Lepote in Zdravja","+030550005","https://carobnadolina.eu/","Rojčeva ulica 20, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 9:00 AM - 7:00 PM | Tuesday: 9:00 AM - 7:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 7:00 PM | Saturday: 9:00 AM - 7:00 PM | Sunday: Closed","https://maps.google.com/?cid=6097608944557690056","5","13","2024-12-03"
"Kozmetika in masaže Maša Zidar s.p.","+040297859","http://www.studio-mm.si/","Jalnova ulica 70, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 6:00 AM - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 6:00 AM - 8:00 PM | Thursday: 6:00 AM - 8:00 PM | Friday: 6:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=10732498874125677442","5","39","2024-12-03"
"Daily lepotni salon","+030686546","","Rakuševa ulica 24, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 10:00 AM - 7:00 PM | Tuesday: 10:00 AM - 7:00 PM | Wednesday: 10:00 AM - 7:00 PM | Thursday: 10:00 AM - 7:00 PM | Friday: 10:00 AM - 7:00 PM | Saturday: 11:00 AM - 3:00 PM | Sunday: Closed","https://maps.google.com/?cid=13020137604504870338","4.8","38","2024-12-03"
"Nailsbeauty","+041373553","","Šmartinska c. 106, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=10754763571225494841","4.9","23","2024-12-03"
"Gospa Svetska Studio","+068949893","https://www.instagram.com/gospasvetska/","Gosposvetska cesta 8, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 7:30 AM - 7:30 PM | Tuesday: 7:30 AM - 7:30 PM | Wednesday: 7:30 AM - 7:30 PM | Thursday: 7:30 AM - 7:30 PM | Friday: 7:30 AM - 7:30 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=7419672775811501673","5","3","2024-12-03"
"MY OH MY Ljubljana","+051675115","https://www.myohmy.si/","Metelkova ulica 15, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 10:00 AM - 7:00 PM | Tuesday: 10:00 AM - 7:00 PM | Wednesday: 10:00 AM - 7:00 PM | Thursday: 10:00 AM - 7:00 PM | Friday: 10:00 AM - 7:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=15485331203505230525","4.3","17","2024-12-03"
"Kozmetični salon Cveta Hiršman","+031445420","http://www.kozmetikakolodvorska.com/","Kolodvorska ulica 14a-1. nadstropje, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 9:00 AM - 6:00 PM | Tuesday: 9:00 AM - 6:00 PM | Wednesday: 9:00 AM - 6:00 PM | Thursday: 9:00 AM - 6:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=7955670502492777037","4.5","31","2024-12-03"
"Medi-Pedi Ljubljana Center","+014289899","http://www.medi-pedi.si/sl/","Slovenska cesta 30, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed","https://maps.google.com/?cid=2131022934703071963","4.6","44","2024-12-03"
"Gold Spa","+070145477","http://goldspa.si/","Pražakova Ul 4, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 8:00 AM - 9:00 PM | Tuesday: 8:00 AM - 9:00 PM | Wednesday: 8:00 AM - 9:00 PM | Thursday: 8:00 AM - 9:00 PM | Friday: 8:00 AM - 9:00 PM | Saturday: 8:00 AM - 3:00 PM | Sunday: Closed","https://maps.google.com/?cid=16371989072279037788","4.4","126","2024-12-03"
"Make-Up Designory Evropa, izobraževanje in trgovina, d.o.o.","+016200348","https://www.makeupdesignory.eu/?utm_source=GMBlisting&utm_medium=organic","Rimska cesta 13, 1000 Ljubljana, Slovenia","","Monday: 12:30 - 7:00 PM | Tuesday: 12:30 - 7:00 PM | Wednesday: 12:30 - 7:00 PM | Thursday: 12:30 - 6:30 PM | Friday: 12:30 - 7:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=5394759323187287425","4.7","14","2024-12-03"
"Indigo","+082005280","","Dunajska c. 203, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 8:00 AM - 4:00 PM | Tuesday: 11:00 AM - 7:00 PM | Wednesday: 8:00 AM - 4:00 PM | Thursday: 11:00 AM - 7:00 PM | Friday: 8:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=8723449875007973117","4.8","43","2024-12-03"
"Studio Alphie, oblikovanje in poslikava nohtov, Vesna Žurga s.p.","+040147898","http://www.studio-alphie.com/","Dunajska c. 433, 1231 Ljubljana - Črnuče, Slovenia","Nail Salon","","https://maps.google.com/?cid=6405043260313509649","5","18","2024-12-03"
"Magnetic Studio Maya","+030277777","http://www.studiomaya.si/","Cesta v Kleče 9, 1000 Ljubljana, Slovenia","Store","Monday: 9:00 AM - 4:00 PM | Tuesday: 9:00 AM - 4:00 PM | Wednesday: 9:00 AM - 4:00 PM | Thursday: 9:00 AM - 4:00 PM | Friday: 9:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=6459445546992615648","4.7","39","2024-12-03"
"Adriana D. Nohti- Ljubljana- Gel nohti- Podaljševanje nohtov- Permanetno lakiranje","+069976399","","Šmartinska c. 106, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 4:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=5347320578437267498","5","8","2024-12-03"
"COCO Beauty by Ana","+040151518","http://app.lime-booking.com/form/cocobeauty","Černetova ulica 12, 1000 Ljubljana, Slovenia","Beauty Salon","","https://maps.google.com/?cid=8257603412256869079","5","9","2024-12-03"
"salon Manika","+041344115","https://nalakirajnohte.si/","Dolenjska cesta 43, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 10:00 AM - 4:00 PM | Tuesday: 11:00 AM - 5:00 PM | Wednesday: 10:00 AM - 4:00 PM | Thursday: 11:00 AM - 5:00 PM | Friday: 10:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=301050024026233562","5","6","2024-12-03"
"Manikurnik - Janin ustvarjalni manikurnik","+040151979","https://manikurnik.si/","Pavšičeva ulica 4, 1000 Ljubljana, Slovenia","Nail Salon","","https://maps.google.com/?cid=18353541486824958882","5","15","2024-12-03"
"Ana Nail Studio","","","Dunajska c. 388, 1231 Ljubljana - Črnuče, Slovenia","Nail Salon","","https://maps.google.com/?cid=2832003474420319860","5","6","2024-12-03"
"Lassana frizersko podjetje, d.d.","+015193107","https://lassana.si/saloni/lassana-salon-derceva-31/","Derčeva ulica 31, 1000 Ljubljana, Slovenia","Hair Salon","Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed","https://maps.google.com/?cid=8137717812559705284","4.6","95","2024-12-03"
"ManiPediSpa","+040169022","http://manipedispa.si/manipedispa.html","Prvomajska ulica 35, 5000 Nova Gorica, Slovenia","Beauty Salon","Monday: 9:00 AM - 9:00 PM | Tuesday: 9:00 AM - 9:00 PM | Wednesday: 9:00 AM - 9:00 PM | Thursday: 9:00 AM - 9:00 PM | Friday: 9:00 AM - 9:00 PM | Saturday: 8:00 AM - 9:00 PM | Sunday: Closed","https://maps.google.com/?cid=4134052570669463379","4.5","44","2024-12-03"
"Nailonails Studio","+040417037","","Cesta 15. aprila 37, 1412 Kisovec, Slovenia","Nail Salon","","https://maps.google.com/?cid=18432598949664326173","5","6","2024-12-03"
"Lassana - pedikerski salon","+012328486","http://www.lassana.si/","Dalmatinova ulica 11, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 7:00 AM - 9:00 PM | Tuesday: 7:00 AM - 9:00 PM | Wednesday: 7:00 AM - 9:00 PM | Thursday: 7:00 AM - 9:00 PM | Friday: 7:00 AM - 9:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed","https://maps.google.com/?cid=10989656271967431873","4.7","30","2024-12-03"
"PMN studio, Nina Mohar s.p.","+040437833","https://www.instagram.com/pmn_nail_studio/","Zaloška cesta 269, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=8248860037826150683","5","6","2024-12-03"
"Velay beauty","+069793979","","Slovenska ulica 33, 2000 Maribor, Slovenia","Nail Salon","Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 8:00 PM | Sunday: 9:00 AM - 8:00 PM","https://maps.google.com/?cid=3919345987525216648","4.8","42","2024-12-03"
"Ramella Beauty Studio","+071448514","https://www.instagram.com/ramella_studio?igshid=OGQ5ZDc2ODk2ZA==","Cesta Jaka Platiše 18, 4000 Kranj, Slovenia","Nail Salon","Monday: 9:00 AM - 9:00 PM | Tuesday: 9:00 AM - 9:00 PM | Wednesday: 9:00 AM - 9:00 PM | Thursday: 9:00 AM - 9:00 PM | Friday: 9:00 AM - 9:00 PM | Saturday: 9:00 AM - 9:00 PM | Sunday: Closed","https://maps.google.com/?cid=2848347531236213303","4.7","11","2024-12-03"
"Lassana - frizerski, pedikerski in kozmetični salon","+012515339","https://lassana.si/saloni/lassana-salon-slovenska-27/","Slovenska cesta 27, 1000 Ljubljana, Slovenia","Hair Salon","Monday: 6:00 AM - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 6:00 AM - 8:00 PM | Thursday: 6:00 AM - 8:00 PM | Friday: 6:00 AM - 8:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed","https://maps.google.com/?cid=11515713985765843210","4.5","80","2024-12-03"
"Lassana - frizerski in kozmetični salon","+012513711","http://www.lassana.si/","Čopova ulica 2, 1000 Ljubljana, Slovenia","Hair Salon","Monday: 7:00 AM - 7:00 PM | Tuesday: 7:00 AM - 7:00 PM | Wednesday: 7:00 AM - 7:00 PM | Thursday: 7:00 AM - 7:00 PM | Friday: 7:00 AM - 7:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed","https://maps.google.com/?cid=6897220771803785201","4.6","116","2024-12-03"
"Š Nails, Špela Šega, s.p., Geliranje nohtov","+040830622","https://snails.si/","Ljubljanska cesta 100, 2310 Slovenska Bistrica, Slovenia","Nail Salon","","https://maps.google.com/?cid=6059153875175486105","4.7","19","2024-12-03"
"Beauty Studio","+051884388","http://www.kozmeticnistudio-s.si/","Linhartov podhod 33, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 9:00 AM - 7:30 PM | Tuesday: 9:00 AM - 7:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 7:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=10615443822355108793","4.2","17","2024-12-03"
"Masaže, Irena Njegovec s.p.","+014361343","","Ulica bratov Židan 34, 1000 Ljubljana, Slovenia","Nail Salon","","https://maps.google.com/?cid=16212330283592331064","4","4","2024-12-03"
"WoW Beauty Lab","+040381133","https://www.instagram.com/wow.beauty.lab.si?igsh=N251eDZnYXVrMzQx","Breg 22, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 11:00 AM - 7:00 PM | Sunday: Closed","https://maps.google.com/?cid=2773274675100293025","5","4","2024-12-03"
"Fanči Gallus","+014287014","http://www.fancigallus.si/","Gallusovo nabrežje 39, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=6231451424999649104","4.8","80","2024-12-03"
"Crystal Nails Slovenija","+031384260","http://crystalnails.si/","Šmartinska c. 28, 1000 Ljubljana, Slovenia","","","https://maps.google.com/?cid=13854302042525788815","4","8","2024-12-03"
"ZANIA Beauty","+070630041","https://zaniabeauty.si/","Slomškova ulica 35, 1000 Ljubljana, Slovenia","Beauty Salon","","https://maps.google.com/?cid=11839339653197560414","5","15","2024-12-03"
"Glam by Nika - lepotni studio","+069839010","http://www.glambynika.si/","Vojkova cesta 58, 1000 Ljubljana, Slovenia","Beauty Salon","","https://maps.google.com/?cid=9865058119704657829","4.6","18","2024-12-03"
"Kozmetični salon - Jana Beauty salon","+051856003","https://jana-beauty.si/","Cesta v Mestni log 20, 1000 Ljubljana, Slovenia","Beauty Salon","","https://maps.google.com/?cid=3523905074258894439","5","30","2024-12-03"
"Viki's Place Maxi | Frizerski salon Ljubljana","+040830913","http://vikisplace.si/","Maximarket, Trg republike 1, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 9:00 AM - 9:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 3:00 PM | Sunday: Closed","https://maps.google.com/?cid=12089318979505164941","4.4","206","2024-12-03"
"AD Beauty Studio","+051607087","https://adstudio.si/","Dolenjska cesta 246a, Celovška cesta 111, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: 7:00 AM - 12:00 PM | Sunday: Closed","https://maps.google.com/?cid=14602272948974883206","4.9","33","2024-12-03"
"Nailbar nohtni studio","+040474911","https://nailbar.si/","Celovška cesta 185, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 5:00 - 9:00 PM | Tuesday: 5:00 - 9:00 PM | Wednesday: 5:00 - 9:00 PM | Thursday: 5:00 - 9:00 PM | Friday: 5:00 - 9:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=9661817692754303490","5","1","2024-12-03"
"Monin Kotiček Kozmetični salon Ljubljana","+040895769","http://www.monin-koticek.si/","Zaloška cesta 6, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 9:00 AM - 6:00 PM | Tuesday: 9:00 AM - 6:00 PM | Wednesday: 9:00 AM - 6:00 PM | Thursday: 9:00 AM - 6:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=14144787013048631078","5","174","2024-12-03"
"SPA V MESTU (KOZMETIČNI SALON)","+051367907","http://spavmestu.si/","Trubarjeva cesta 45, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 7:00 AM - 7:00 PM | Tuesday: 7:00 AM - 7:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 3:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=11762782117777787550","4.5","63","2024-12-03"
"ManiPediSpa","+040382669","http://www.manipedispa.si/","Jurčkova Cesta 223, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 9:00 AM - 9:00 PM | Tuesday: 9:00 AM - 9:00 PM | Wednesday: 9:00 AM - 9:00 PM | Thursday: 9:00 AM - 9:00 PM | Friday: 9:00 AM - 9:00 PM | Saturday: 8:00 AM - 9:00 PM | Sunday: Closed","https://maps.google.com/?cid=939553885525551505","4.5","23","2024-12-03"
"Ninas, nails & hair professionalists","+040374910","","Na jami 20, 1000 Ljubljana, Slovenia","Beauty Salon","","https://maps.google.com/?cid=3151148930758379944","5","4","2024-12-03"
"Cartiel - Nail podjetje za estetiko, d.o.o., Ljubljana","+014361185","","Peričeva ulica 27, 1000 Ljubljana, Slovenia","Nail Salon","","https://maps.google.com/?cid=10877130822494999232","5","1","2024-12-03"
"Boris Hair & Nail studio Boris Rome s.p.","+014271904","https://www.moja-dejavnost.si/akrilni-nohti-ljubljana/boris-hair--nail-studio-boris-rome-sp/MMxqAlvC","Dolenjska cesta 156b, 1000 Ljubljana, Slovenia","Hair Salon","","https://maps.google.com/?cid=14286907570209684932","5","13","2024-12-03"
"BOSS BEAUTY, Gaja Povirk s.p.","+040855254","https://bossbeauty.si/","Celovška cesta 72, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 8:00 AM - 9:00 PM | Tuesday: 8:00 AM - 9:00 PM | Wednesday: 8:00 AM - 9:00 PM | Thursday: 8:00 AM - 9:00 PM | Friday: 8:00 AM - 9:00 PM | Saturday: 8:00 AM - 3:00 PM | Sunday: Closed","https://maps.google.com/?cid=14184273801736779320","5","42","2024-12-03"
"Viki's Bar","+059925579","http://vikisplace.si/","Wolfova ulica 10a, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 3:00 PM | Sunday: Closed","https://maps.google.com/?cid=5411701418699166790","4.6","52","2024-12-03"
"Lilly Nails Slovenija","+040730449","http://www.lillynails.si/","Ameriška ulica 2, 1000 Ljubljana, Slovenia","","Monday: 10:00 AM - 4:00 PM | Tuesday: 12:00 - 6:00 PM | Wednesday: 10:00 AM - 4:00 PM | Thursday: 12:00 - 6:00 PM | Friday: 10:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=10806930493134825269","5","5","2024-12-03"
