Business Name,Type,Address,Phone,Website,Opening Hours,Maps URL,Rating,Reviews Count
"Nails by Hata, Hata Hasanovic s.p.","{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Gregorčičeva ulica 27, 2000 Maribor, Slovenia",040 664 447,,Monday: 8:00 AM - 8:00 PM | Tuesday: 8:00 AM - 8:00 PM | Wednesday: 8:00 AM - 8:00 PM | Thursday: 8:00 AM - 8:00 PM | Friday: 8:00 AM - 8:00 PM | Saturday: 8:00 AM - 8:00 PM | Sunday: Closed,https://maps.google.com/?cid=2552821247045895283,4.6,22
"Lorem, ines Ketiš s.p. Clarissa nails Slovenija","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Vrazova ulica 42, 2000 Maribor, Slovenia",041 970 169,http://www.clarissalorem.com/,,https://maps.google.com/?cid=17456779307829114021,4.5,37
Manikira Urban Spa,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Cesta proletarskih brigad 100, 2000 Maribor, Slovenia",041 651 269,,,https://maps.google.com/?cid=9069147022305430807,3.6,9
Studio lepih nohtov,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Pekrska cesta 52, 2000 Maribor, Slovenia",040 190 620,,,https://maps.google.com/?cid=13523204816580458581,5,14
Ksenija Nails,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Radovanova ulica 12, 2000 Maribor, Slovenia",041 795 504,http://www.ksenija-nails.si/,,https://maps.google.com/?cid=17471884801566319747,5,1
"Perfect Nail studio, Manikura, Sebastijan Lovrič s.p.","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Ulica bratov Greifov 5, 2000 Maribor, Slovenia",041 946 266,https://www.facebook.com/Perfect_Nail_Studio-589961518168473/,Monday: 8:00 AM - 7:00 PM | Tuesday: 8:00 AM - 7:00 PM | Wednesday: 8:00 AM - 7:00 PM | Thursday: 8:00 AM - 7:00 PM | Friday: 8:00 AM - 7:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=9967276329879594847,3.4,5
"D´nails, urejanje nohtov Doroteja Perko s.p.","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Žolgarjeva ul. 17, 2000 Maribor, Slovenia",051 686 775,https://instagram.com/nails_by_doroteja?igshid=YmMyMTA2M2Y=,,https://maps.google.com/?cid=4935711542381106512,,
"Glitter nails, Maja Škrobar s.p.","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Radvanjska cesta 35, 2000 Maribor, Slovenia",,,,https://maps.google.com/?cid=7612027177323585338,,
Bashaya nails - Nohti,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Pekrska cesta 52, 2000 Maribor, Slovenia",070 569 540,https://www.bashaya.com/,Monday: 8:00 AM - 4:00 PM | Tuesday: 10:00 AM - 8:00 PM | Wednesday: 10:00 AM - 8:00 PM | Thursday: 8:00 AM - 4:00 PM | Friday: 8:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=4043190935112592388,5,5
"House of Beauty, urejanje nohtov in podaljševanje trepalnic, Valerija Maneva s.p.","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Koroška cesta 74, 2000 Maribor, Slovenia",070 860 740,,,https://maps.google.com/?cid=1426476301830009198,,
Diamond Spa-manicure,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Tržaška cesta 14, 2000 Maribor, Slovenia",051 650 740,,,https://maps.google.com/?cid=12257990055900360254,4.7,7
Velay beauty,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Slovenska ulica 33, 2000 Maribor, Slovenia",069 793 979,,Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 8:00 PM | Sunday: 9:00 AM - 8:00 PM,https://maps.google.com/?cid=3919345987525216648,4.8,42
Pedikura-Manikura Jožica Florjančič s.p.,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Gosposvetska cesta 20, 2000 Maribor, Slovenia",031 435 801,,Monday: 1:00 - 8:00 PM | Tuesday: 1:00 - 8:00 PM | Wednesday: 1:00 - 8:00 PM | Thursday: 7:00 AM - 2:00 PM | Friday: 7:00 AM - 2:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=17316389934270092337,4.8,23
"Ml Nails studio, Tina Kaučič s.p., kozmetične storitve","{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Blatnikova ulica 12, 2000 Maribor, Slovenia",040 851 577,,,https://maps.google.com/?cid=2935393196709256721,,
TS studio,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Panonska ulica 7, 2000 Maribor, Slovenia",041 915 786,,,https://maps.google.com/?cid=18268745030288548782,,
"Fricky Nails, podaljševanje nohtov in druge storitve, Mojca Vuzem, s.p.","{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Slovaška ulica 11, 2000 Maribor, Slovenia",040 413 756,,,https://maps.google.com/?cid=15028968062356402106,,
"Nikola Komadina s.p., manikura","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Ulica Staneta Severja 13, 2000 Maribor, Slovenia",,,,https://maps.google.com/?cid=7706642295885600306,,
"LEPOTNI STUDIO TAMANA, Anita Vesenjak s.p.","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Zemljičeva Ulica 24a, 2000 Maribor, Slovenia",040 217 647,,,https://maps.google.com/?cid=16752877194662334068,,
"Maniq beauty studio, manicure and body care Tadeja Črnčec s. p.","{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Limbuška cesta 66a, 2000 Maribor, Slovenia",070 611 184,https://www.facebook.com/maniqlepotnistudio,,https://maps.google.com/?cid=17921573717002122436,,
Catherine Nail Collection,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Ribniška ulica, 2000 Maribor, Slovenia",041 432 630,https://www.catherine.si/strani/kontakt.htm,,https://maps.google.com/?cid=16701092172487928615,,
